,year,deaths,battle_location
56,2000,114,Myanmar
57,2001,36,Myanmar
58,2002,110,Myanmar
59,2003,38,Myanmar
60,2004,27,Myanmar
61,2005,42,Myanmar
62,2006,104,Myanmar
63,2007,104,Myanmar
64,2008,33,Myanmar
65,2009,58,Myanmar
66,2010,121,Myanmar
67,2011,334,Myanmar
68,2013,41,Myanmar
73,2016,84,Myanmar
74,2017,393,Myanmar
105,2016,2557,Yemen
106,2017,2317,Yemen
107,2009,94,Yemen
108,2010,175,Yemen
109,2011,1140,Yemen
110,2012,2330,Yemen
111,2013,582,Yemen
112,2014,1660,Yemen
113,2015,6532,Yemen
114,2016,32,Myanmar
115,2017,28,Myanmar
120,2011,209,Myanmar
121,2012,702,Myanmar
122,2013,125,Myanmar
123,2014,83,Myanmar
124,2015,140,Myanmar
144,2004,379,Syrian Arab Rep.
163,2005,35,Myanmar
164,2016,12105,Syrian Arab Rep.
165,2017,13817,Yemen
182,2014,13443,Syrian Arab Rep.
183,2015,11557,Syrian Arab Rep.
195,2000,69,Myanmar
196,2001,117,Myanmar
197,2002,184,Myanmar
198,2005,27,Myanmar
199,2006,48,Myanmar
200,2007,29,Myanmar
201,2008,31,Myanmar
202,2009,52,Myanmar
203,2010,36,Myanmar
204,2011,170,Myanmar
205,2013,83,Myanmar
206,2015,75,Myanmar
337,2016,27190,Syrian Arab Rep.
338,2017,9433,Syrian Arab Rep.
339,2011,964,Syrian Arab Rep.
340,2012,38480,Syrian Arab Rep.
341,2013,68503,Syrian Arab Rep.
342,2014,54547,Syrian Arab Rep.
343,2015,33967,Syrian Arab Rep.
486,2004,25,Somalia
492,2010,126,Somalia
557,2001,228,Somalia
558,2002,114,Somalia
559,2006,547,Somalia
560,2007,1546,Somalia
561,2008,1491,Somalia
562,2009,1467,Somalia
563,2010,2151,Somalia
564,2011,1938,Somalia
565,2012,2646,Somalia
566,2013,940,Somalia
567,2014,1155,Somalia
568,2015,1178,Somalia
569,2016,1925,Somalia
570,2017,1837,Somalia
659,2017,703,Syrian Arab Rep.
973,2017,111,Syrian Arab Rep.
980,2007,174,Somalia
981,2008,290,Yemen
982,2009,450,Somalia
984,2011,203,Somalia
985,2012,225,Somalia
986,2013,38,Somalia
987,2014,103,Syrian Arab Rep.
988,2015,65,Syrian Arab Rep.
1054,2015,30,Syrian Arab Rep.
1058,2009,80,Myanmar
1059,2017,35,Myanmar
1060,2014,67,Myanmar
1061,2015,309,Myanmar
1092,2000,43,Myanmar
1093,2001,62,Myanmar
1094,2005,38,Myanmar
1095,2006,92,Myanmar
1096,2007,215,Myanmar
1098,2012,25,Syrian Arab Rep.
1099,2013,42,Syrian Arab Rep.
1100,2015,56,Syrian Arab Rep.
1108,2017,44,Myanmar
1109,2013,29,Myanmar
1110,2014,37,Myanmar
1111,2015,106,Myanmar
1115,2016,12864,Syrian Arab Rep.
1116,2017,10996,Syrian Arab Rep.
1117,2013,544,Syrian Arab Rep.
1118,2014,1619,Syrian Arab Rep.
1119,2015,11165,Syrian Arab Rep.
1134,2015,246,Yemen
1135,2016,49,Somalia
1137,2015,42,Somalia
1154,2016,158,Syrian Arab Rep.
1155,2016,34,Syrian Arab Rep.
1156,2016,1214,Syrian Arab Rep.
1157,2017,594,Syrian Arab Rep.
1158,2015,26,Syrian Arab Rep.
